DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Jul-2025,EQ,"409.00","409.30","405.75","408.45","407.80","407.60","407.37","471.50","390.15","1,09,15,863","4,44,68,03,251.75","1,02,742"
29-Jul-2025,EQ,"410.00","411.40","408.00","409.90","408.20","408.45","409.30","471.50","390.15","68,11,772","2,78,80,74,823.55","97,448"
28-Jul-2025,EQ,"410.80","410.85","408.60","409.40","409.80","409.90","409.88","471.50","390.15","81,23,337","3,32,95,57,179.75","86,106"
25-Jul-2025,EQ,"410.00","410.25","407.75","409.95","409.60","409.40","409.17","471.50","390.15","58,24,089","2,38,30,43,433.05","1,00,941"
24-Jul-2025,EQ,"415.85","415.85","409.45","414.95","410.00","409.95","411.42","471.50","390.15","90,05,157","3,70,48,82,523.95","1,32,378"
23-Jul-2025,EQ,"417.10","417.90","414.00","416.00","415.00","414.95","415.04","471.50","390.15","1,21,96,187","5,06,18,66,238.40","99,775"
22-Jul-2025,EQ,"420.10","420.40","415.20","420.10","415.95","416.00","416.82","471.50","390.15","98,69,507","4,11,38,26,380.95","1,17,437"
21-Jul-2025,EQ,"422.00","422.75","418.40","422.75","420.30","420.10","420.55","471.50","390.15","48,22,343","2,02,80,12,485.95","85,747"
18-Jul-2025,EQ,"425.20","425.20","420.10","423.95","422.00","422.75","422.22","471.50","390.15","67,30,256","2,84,16,42,514.05","82,551"
17-Jul-2025,EQ,"425.80","425.90","423.00","424.60","423.25","423.95","424.62","471.50","390.15","72,40,795","3,07,46,22,256.70","85,266"
16-Jul-2025,EQ,"422.10","425.45","420.30","422.10","424.40","424.60","423.52","471.50","390.15","97,80,773","4,14,23,30,034.65","91,064"
15-Jul-2025,EQ,"420.90","422.40","419.00","419.40","422.30","422.10","421.37","471.50","390.15","85,32,755","3,59,54,25,226.20","1,12,643"
